"","drug_concept_id","denominator_value","denominator_unit_concept_id","numerator_value","numerator_unit_concept_id","concept_name","quantity","n"
"1",19028193,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Medicated Pad",0.4,1
"2",948860,NA,8587,0.1,8587,"polyvinyl alcohol 0.1 ML/ML Ophthalmic Solution",1,1
"3",948890,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML / povidone 6 MG/ML Ophthalmic Solution",1,295
"4",955435,NA,8587,0.7,8587,"ethanol 0.7 ML/ML Topical Solution",1,2
"5",1036706,NA,8587,0.6,8587,"benzocaine 10 MG/ML / ethanol 0.6 ML/ML / tannic acid 45 MG/ML Topical Spray",1,7
"6",1594090,NA,8587,0.98,8587,"ethanol 0.98 ML/ML Injection",1,1
"7",19011661,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution",1,407
"8",19028193,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Medicated Pad",1,3203
"9",19080764,NA,8587,1,8587,"ethyl chloride 1 ML/ML Topical Spray",1,400
"10",19122241,NA,8587,0.005,8587,"polyvinyl alcohol 0.005 ML/ML / povidone 6 MG/ML Ophthalmic Solution",1,36
"11",19123490,NA,8587,0.95,8587,"ethanol 0.95 ML/ML Topical Solution",1,5
"12",19132492,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Topical Solution",1,800
"13",37497937,NA,8587,0.47,8587,"ethanol 0.47 ML/ML / iodine 20 MG/ML / sodium iodide 24 MG/ML Topical Solution",1,10
"14",40223673,NA,8587,0.7,8587,"chlorhexidine gluconate 20 MG/ML / isopropyl alcohol 0.7 ML/ML Topical Solution [ChloraPrep]",1,303
"15",40229962,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML / povidone 6 MG/ML Ophthalmic Solution [MiniDrops]",1,1
"16",40235757,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution [Tears Again Eye Drops]",1,1
"17",40236097,NA,8587,0.74,8587,"iodine povacrylex 7 MG/ML / isopropyl alcohol 0.74 ML/ML Topical Solution [DuraPrep]",1,10
"18",43013041,NA,8587,0.7,8587,"chlorhexidine gluconate 31.5 MG/ML / isopropyl alcohol 0.7 ML/ML Medicated Pad [Prevantics]",1,3
"19",46234012,NA,8587,0.5,8587,"mineral oil 0.5 ML/ML Oral Suspension [Kondremul Plain]",1,1
"20",948890,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML / povidone 6 MG/ML Ophthalmic Solution",2,72
"21",1594090,NA,8587,0.98,8587,"ethanol 0.98 ML/ML Injection",2,3
"22",19011661,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution",2,15
"23",19028193,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Medicated Pad",2,56
"24",19080764,NA,8587,1,8587,"ethyl chloride 1 ML/ML Topical Spray",2,14
"25",19121877,NA,8587,0.91,8587,"isopropyl alcohol 0.91 ML/ML Topical Solution",2,3
"26",19122241,NA,8587,0.005,8587,"polyvinyl alcohol 0.005 ML/ML / povidone 6 MG/ML Ophthalmic Solution",2,1
"27",19132492,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Topical Solution",2,23
"28",40223673,NA,8587,0.7,8587,"chlorhexidine gluconate 20 MG/ML / isopropyl alcohol 0.7 ML/ML Topical Solution [ChloraPrep]",2,176
"29",948890,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML / povidone 6 MG/ML Ophthalmic Solution",3,15
"30",19011661,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution",3,6
"31",19028193,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Medicated Pad",3,22
"32",19080764,NA,8587,1,8587,"ethyl chloride 1 ML/ML Topical Spray",3,1
"33",19121877,NA,8587,0.91,8587,"isopropyl alcohol 0.91 ML/ML Topical Solution",3,2
"34",19122241,NA,8587,0.005,8587,"polyvinyl alcohol 0.005 ML/ML / povidone 6 MG/ML Ophthalmic Solution",3,1
"35",19132492,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Topical Solution",3,5
"36",40223673,NA,8587,0.7,8587,"chlorhexidine gluconate 20 MG/ML / isopropyl alcohol 0.7 ML/ML Topical Solution [ChloraPrep]",3,27
"37",19011661,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution",3.5,2
"38",948890,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML / povidone 6 MG/ML Ophthalmic Solution",4,22
"39",19011661,NA,8587,0.014,8587,"polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution",4,8
"40",19028193,NA,8587,0.7,8587,"isopropyl alcohol 0.7 ML/ML Medicated Pad",4,39
"41",19080764,NA,8587,1,8587,"ethyl chloride 1 ML/ML Topical Spray",4,6
