"","denominator_value","numerator_value","drug_concept_id","drug_name","conc_1_exct","conc_2_exct","conc_3_exct","conc_4_exct","conc_5_exct","conc_6_exct","conc_7_exct","conc_8_exct","conc_9_exct"
"1",NA,0.0015,916547,"benzalkonium 0.0015 MG/MG / ethanol 3.5 ML/ML Topical Ointment",0.0015,3.5,NA,NA,NA,NA,NA,NA,NA
"2",NA,3.5,916547,"benzalkonium 0.0015 MG/MG / ethanol 3.5 ML/ML Topical Ointment",0.0015,3.5,NA,NA,NA,NA,NA,NA,NA
"3",NA,30,1145732,"sulfur 30 MG/MG",30,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,30,1145733,"sulfur 30 MG/MG Paste",30,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,40,1146651,"hydrogen peroxide 40 ML/ML",40,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,0.7,1146654,"ethanol 0.7 ML/ML / hydrogen peroxide 40 ML/ML Topical Spray",0.7,40,NA,NA,NA,NA,NA,NA,NA
"7",NA,40,1146654,"ethanol 0.7 ML/ML / hydrogen peroxide 40 ML/ML Topical Spray",0.7,40,NA,NA,NA,NA,NA,NA,NA
"8",NA,7,19023459,"ethanol 7 ML/ML Topical Gel",7,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,8.7,19028131,"isopropyl alcohol 8.7 ML/ML",8.7,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,9.8,19059936,"isopropyl alcohol 9.8 ML/ML Topical Solution",9.8,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,3.87,19060942,"ethanol 3.87 ML/ML Topical Solution",3.87,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,7,19063407,"ethanol 7 ML/ML Topical Lotion",7,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,6.5,19063435,"ethanol 6.5 ML/ML Topical Gel",6.5,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,7,19072384,"ethanol 7 ML/ML Topical Solution",7,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,9.1,19072385,"isopropyl alcohol 9.1 ML/ML Topical Solution",9.1,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,9.9,19072386,"isopropyl alcohol 9.9 ML/ML Topical Solution",9.9,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,10,19080770,"formaldehyde 10 MG/ML / isopropyl alcohol 8.7 ML/ML Topical Solution",8.7,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,8.7,19080770,"formaldehyde 10 MG/ML / isopropyl alcohol 8.7 ML/ML Topical Solution",8.7,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,7,19093975,"ethanol 7 ML/ML",7,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,9.1,19094977,"isopropyl alcohol 9.1 ML/ML",9.1,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,9.9,19094978,"isopropyl alcohol 9.9 ML/ML",9.9,NA,NA,NA,NA,NA,NA,NA,NA
